#BajaNorte
#Ecatepec-de-Morelos 	19.51129,-99.02670
#Ecatzingo 	18.95583,-98.75278
#Huehuetoca 	19.84892,-99.20197
#Hueypoxtla 	19.93546,-99.05421
#Huixquilucan 	19.35791,-99.34564
#Isidro-Fabela 	19.65271,-99.21591
#Ixtapaluca 	19.31693,-98.89458
#Ixtapan-de-La-Sal 	18.84376,-99.67554
#Ixtapan-Del-Oro 	19.24766,-100.29436
#Ixtlahuaca 	19.56088,-99.76530
#Jaltenco 	19.74365,-99.08992
#Jilotepec 	19.97937,-99.60700
#Jilotzingo 	19.86986,-99.05651
#Jiquipilco 	19.55735,-99.60675
#Jocotitlan 	19.50922,-99.08341
#Joquicingo 	19.02271,-99.47899
#Juchitepec 	19.09671,-98.87042
#Lerma 	19.31501,-99.57280
#Luvianos 	18.92166,-100.29931
#Malinalco 	20.03333,-99.68333
#Melchor-Ocampo 	19.71500,-99.13460
#Mexicaltzingo 	19.34501,-99.10407
#Naucalpan-de-Juarez 	19.47528,-99.23778
#Nextlalpan 	19.73904,-99.06843
#Nezahualcoyotl 	19.40801,-99.00493
#Nicolas-Romero 	19.60733,-99.32267
#Nopaltepec 	19.78194,-98.71250
